driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,id
SanDisk A400 NVMe 256GB,SSD,238.5,6362,1620,6000.0,84.83,0.31,2017,278
Gigabyte M.2 PCIe SSD 128GB,SSD,119.2,6138,1633,9199.2,53.38,0.96,2019,279
WD Black NVMe 256GB,SSD,238.5,6025,1642,10399.2,46.35,0.55,2017,280
Corsair Force MP300 120GB,SSD,111.8,5992,1643,5992.0,80.01,0.67,2018,281
PLEXTOR PX-AG256M6e,SSD,238.5,5738,1660,20319.2,22.59,1.06,2014,282
Crucial MX500 1TB M.2,SSD,931.5,5724,1661,24720.0,18.52,0.33,2018,283
SEAGATE ST400FM0053,SSD,372.6,5693,1663,23840.0,19.1,0.8,2017,284
Samsung SSD 870 EVO 4TB,SSD,3600.0,5570,1668,59599.2,7.48,0.21,2021,285
WDC WDS200T2B0B,SSD,1800.0,5551,1669,14591.2,30.44,0.1,2018,286
Seagate BarraCuda 120 SSD ZA2000CM10003,SSD,1800.0,5546,1670,29455.2,15.06,0.2,2020,287
